Year,Adjusted sea level (inches)
1950,3.598425193
1951,3.972440941
1952,3.870078736
1953,4.043307082
1954,3.929133854
1955,3.964566925
1956,3.763779524
1957,4.291338578
1958,4.346456688
1959,4.358267712
1960,4.503937003
1961,4.748031491
1962,4.543307082
1963,4.480314956
1964,4.169291334
1965,4.610236216
1966,4.397637791
1967,4.452755901
1968,4.484251964
1969,4.751968499
1970,4.67716535
1971,4.881889759
1972,5.240157475
1973,5.003937003
1974,5.472440939
1975,5.409448813
1976,5.370078735
1977,5.303149601
1978,5.555118105
1979,5.362204719
1980,5.598425191
1981,6.086614167
1982,5.858267711
1983,6.188976372
1984,6.153543301
1985,5.74803149
1986,5.771653537
1987,5.795275585
1988,5.980314955
1989,6.157480309
1990,6.24803149
1991,6.346456686
1992,6.374015742
1993,6.306781039
1994,6.438651665
1995,6.57674495
1996,6.723710173
1997,6.779514525
1998,6.770265291
1999,6.840497137
2000,6.919122465
2001,7.116325549
2002,7.258223788
2003,7.410511627
2004,7.465565214
2005,7.566645782
2006,7.678404507
2007,7.674412818
2008,7.828383728
2009,7.973212968
2010,8.03087412
2011,7.966928207
2012,8.362109902
2013,8.453537927
2014,8.579036068
2015,8.92498423
2016,9.048398764
2017,9.11098598
2018,9.234520538
2019,9.480222637
2020,9.592476574
2021,9.797220121
