,Date,Monthly_MSL
0,1945-12-01,7.039
1,1946-01-01,7.081
2,1946-02-01,7.077
3,1946-03-01,7.097
4,1946-04-01,7.098
5,1946-05-01,7.052
6,1946-06-01,7.099
7,1946-07-01,7.093
8,1946-08-01,7.059
9,1946-09-01,7.118
10,1946-10-01,7.085
11,1946-11-01,7.096
12,1946-12-01,7.099
13,1947-01-01,7.071
14,1947-02-01,7.077
15,1947-03-01,7.077
16,1947-04-01,7.068
17,1947-05-01,7.052
18,1947-06-01,7.039
19,1947-07-01,7.083
20,1947-08-01,7.069
21,1947-09-01,7.028
22,1947-10-01,7.095
23,1947-11-01,7.106
24,1947-12-01,7.089
25,1948-01-01,7.101
26,1948-02-01,7.067
27,1948-03-01,7.067
28,1948-04-01,7.028
29,1948-05-01,7.082
30,1948-07-01,7.083
31,1948-08-01,7.039
32,1948-09-01,7.068
33,1948-10-01,7.085
34,1948-11-01,7.136
35,1948-12-01,7.129
36,1949-01-01,7.151
37,1949-02-01,7.147
38,1949-03-01,7.097
39,1949-04-01,7.048
40,1949-05-01,7.092
41,1949-07-01,7.043
42,1949-08-01,7.029
43,1949-09-01,7.028
44,1949-10-01,7.055
45,1949-11-01,7.046
46,1949-12-01,7.049
47,1950-01-01,7.061
48,1950-02-01,7.017
49,1950-03-01,7.037
50,1950-04-01,7.078
51,1950-05-01,7.122
52,1950-06-01,7.089
53,1950-07-01,7.063
54,1950-08-01,7.019
55,1950-09-01,7.088
56,1950-10-01,7.055
57,1950-11-01,7.046
58,1950-12-01,7.069
59,1951-01-01,7.051
60,1951-02-01,7.087
61,1951-03-01,7.077
62,1951-04-01,7.098
63,1951-05-01,7.112
64,1951-06-01,7.129
65,1951-07-01,7.103
66,1951-08-01,7.089
67,1951-09-01,7.068
68,1951-10-01,7.065
69,1951-11-01,7.046
70,1951-12-01,7.049
71,1952-01-01,7.041
72,1952-02-01,7.067
73,1952-03-01,7.027
74,1952-04-01,7.048
75,1952-05-01,7.072
76,1952-06-01,7.049
77,1952-07-01,7.043
78,1952-08-01,7.099
79,1952-09-01,7.038
80,1952-10-01,7.075
81,1952-11-01,7.066
82,1952-12-01,7.069
83,1953-01-01,7.051
84,1953-02-01,7.097
85,1953-03-01,7.057
86,1953-04-01,7.028
87,1953-05-01,7.042
88,1953-06-01,7.069
89,1953-07-01,7.023
90,1953-08-01,7.049
91,1953-09-01,7.078
92,1953-10-01,7.045
93,1953-11-01,7.056
94,1953-12-01,7.039
95,1954-01-01,7.031
96,1954-02-01,7.087
97,1954-03-01,6.997
98,1954-04-01,7.018
99,1954-05-01,7.032
100,1954-06-01,7.039
101,1954-07-01,7.033
102,1954-08-01,6.979
103,1954-09-01,7.018
104,1954-10-01,7.005
105,1954-11-01,7.056
106,1954-12-01,7.029
107,1955-01-01,7.031
108,1955-02-01,7.017
109,1955-03-01,7.027
110,1955-04-01,6.998
111,1955-05-01,7.022
112,1955-06-01,6.979
113,1955-07-01,7.013
114,1955-08-01,7.019
115,1955-09-01,6.998
116,1955-10-01,6.995
117,1955-11-01,7.006
118,1956-01-01,7.021
119,1956-02-01,7.037
120,1956-03-01,7.007
121,1956-04-01,7.008
122,1956-05-01,7.012
123,1956-06-01,7.009
124,1956-07-01,6.983
125,1956-08-01,6.989
126,1956-09-01,7.008
127,1956-10-01,7.015
128,1956-11-01,7.026
129,1956-12-01,6.969
130,1957-01-01,7.011
131,1957-02-01,7.037
132,1957-03-01,7.067
133,1957-04-01,7.138
134,1957-05-01,7.122
135,1957-06-01,7.079
136,1957-07-01,7.083
137,1957-08-01,7.059
138,1957-09-01,7.038
139,1957-10-01,7.065
140,1957-11-01,7.146
141,1957-12-01,7.099
142,1958-01-01,7.141
143,1958-02-01,7.057
144,1958-03-01,7.087
145,1958-04-01,7.048
146,1958-05-01,7.092
147,1958-06-01,7.079
148,1958-07-01,7.113
149,1958-08-01,7.049
150,1958-09-01,7.078
151,1958-10-01,7.075
152,1958-11-01,7.076
153,1958-12-01,7.059
154,1959-01-01,7.091
155,1959-02-01,7.067
156,1959-03-01,7.067
157,1959-04-01,7.058
158,1959-05-01,7.012
159,1959-06-01,7.039
160,1959-07-01,7.043
161,1959-08-01,7.059
162,1959-09-01,7.088
163,1959-10-01,7.065
164,1959-11-01,7.066
165,1959-12-01,7.079
166,1960-01-01,7.041
167,1960-02-01,7.057
168,1960-03-01,7.007
169,1960-04-01,7.038
170,1960-05-01,7.022
171,1960-06-01,7.059
172,1960-07-01,7.023
173,1960-08-01,7.049
174,1960-09-01,7.008
175,1960-10-01,7.045
176,1960-11-01,7.046
177,1960-12-01,7.149
178,1961-01-01,7.151
179,1961-02-01,7.127
180,1961-03-01,7.097
181,1961-04-01,7.118
182,1961-05-01,7.142
183,1961-06-01,7.059
184,1961-07-01,7.093
185,1961-08-01,7.139
186,1961-09-01,7.078
187,1961-10-01,7.085
188,1961-11-01,7.036
189,1961-12-01,7.059
190,1962-01-01,7.011
191,1962-02-01,7.007
192,1962-03-01,7.007
193,1962-04-01,7.048
194,1962-05-01,7.062
195,1962-06-01,7.029
196,1962-07-01,7.003
197,1962-08-01,7.059
198,1962-09-01,7.048
199,1962-10-01,6.995
200,1962-11-01,7.016
201,1962-12-01,7.019
202,1963-01-01,7.051
203,1963-02-01,7.047
204,1963-03-01,7.047
205,1963-04-01,7.068
206,1963-05-01,7.032
207,1963-06-01,7.059
208,1963-07-01,7.033
209,1963-08-01,7.089
210,1963-09-01,7.048
211,1963-10-01,7.035
212,1963-11-01,7.016
213,1963-12-01,7.059
214,1964-01-01,7.011
215,1964-02-01,7.027
216,1964-03-01,7.007
217,1964-04-01,7.018
218,1964-05-01,6.992
219,1964-06-01,6.999
220,1964-07-01,7.033
221,1964-08-01,6.999
222,1964-09-01,7.038
223,1964-10-01,7.015
224,1964-11-01,6.986
225,1964-12-01,7.009
226,1965-01-01,7.031
227,1965-02-01,7.077
228,1965-03-01,7.067
229,1965-04-01,7.048
230,1965-05-01,7.032
231,1965-06-01,7.129
232,1965-07-01,7.053
233,1965-08-01,7.099
234,1965-09-01,7.068
235,1965-10-01,7.015
236,1965-11-01,7.056
237,1965-12-01,7.049
238,1966-01-01,7.071
239,1966-02-01,6.997
240,1966-03-01,7.027
241,1966-04-01,6.968
242,1966-05-01,6.992
243,1966-06-01,6.999
244,1966-07-01,7.033
245,1966-08-01,6.969
246,1966-09-01,6.968
247,1966-10-01,6.995
248,1966-11-01,6.986
249,1966-12-01,6.969
250,1967-01-01,6.991
251,1967-02-01,6.987
252,1967-03-01,6.947
253,1967-04-01,7.008
254,1967-06-01,7.089
255,1967-07-01,7.033
256,1967-08-01,6.989
257,1967-09-01,6.978
258,1967-10-01,6.965
259,1967-11-01,7.006
260,1967-12-01,7.009
261,1968-01-01,7.001
262,1968-02-01,7.007
263,1968-03-01,7.057
264,1968-04-01,7.008
265,1968-05-01,6.932
266,1968-06-01,6.959
267,1968-07-01,6.973
268,1968-08-01,6.989
269,1968-09-01,6.988
270,1968-10-01,6.995
271,1968-11-01,6.986
272,1969-01-01,6.981
273,1969-02-01,6.967
274,1969-03-01,7.027
275,1969-04-01,7.008
276,1969-05-01,6.982
277,1969-06-01,6.969
278,1969-07-01,6.993
279,1969-08-01,7.009
280,1969-09-01,7.008
281,1969-10-01,7.015
282,1969-11-01,7.026
283,1969-12-01,6.989
284,1970-01-01,6.991
285,1970-02-01,6.967
286,1970-03-01,6.977
287,1970-04-01,6.988
288,1970-05-01,6.932
289,1970-06-01,6.929
290,1970-07-01,6.903
291,1970-08-01,6.949
292,1970-09-01,6.968
293,1970-10-01,6.945
294,1970-11-01,6.946
295,1971-04-01,7.038
296,1971-05-01,7.012
297,1971-06-01,7.019
298,1971-07-01,7.013
299,1971-08-01,6.979
300,1971-09-01,7.038
301,1971-10-01,6.985
302,1971-11-01,6.986
303,1971-12-01,6.969
304,1972-01-01,7.001
305,1972-02-01,7.037
306,1972-03-01,7.047
307,1972-04-01,6.998
308,1972-05-01,7.102
309,1972-06-01,7.079
310,1972-07-01,7.093
311,1972-08-01,7.049
312,1972-09-01,7.068
313,1972-10-01,7.035
314,1972-11-01,7.106
315,1972-12-01,7.119
316,1973-01-01,7.001
317,1973-02-01,7.017
318,1973-03-01,6.927
319,1973-04-01,6.948
320,1973-05-01,6.892
321,1973-06-01,6.999
322,1973-07-01,6.973
323,1973-08-01,6.899
324,1973-09-01,6.868
325,1973-10-01,6.875
326,1973-11-01,6.936
327,1973-12-01,6.819
328,1974-01-01,6.891
329,1974-02-01,6.887
330,1974-03-01,6.967
331,1974-04-01,7.028
332,1974-05-01,7.062
333,1974-06-01,7.049
334,1974-07-01,7.043
335,1974-08-01,7.069
336,1974-09-01,7.038
337,1974-10-01,7.045
338,1974-11-01,6.996
339,1974-12-01,6.989
340,1975-01-01,7.021
341,1975-02-01,7.057
342,1975-03-01,7.027
343,1975-04-01,6.998
344,1975-05-01,6.992
345,1975-06-01,7.009
346,1975-07-01,7.033
347,1975-08-01,7.019
348,1975-09-01,6.978
349,1975-10-01,7.025
350,1975-11-01,6.966
351,1975-12-01,6.999
352,1976-01-01,7.011
353,1976-02-01,7.017
354,1976-03-01,7.177
355,1976-04-01,7.048
356,1976-05-01,7.052
357,1976-06-01,7.099
358,1976-07-01,7.063
359,1976-08-01,6.989
360,1976-09-01,7.028
361,1976-10-01,6.995
362,1976-11-01,7.056
363,1976-12-01,7.009
364,1977-01-01,7.031
365,1977-02-01,7.007
366,1977-03-01,7.017
367,1977-04-01,7.008
368,1977-05-01,7.052
369,1977-06-01,7.029
370,1977-07-01,7.043
371,1977-08-01,7.009
372,1977-11-01,7.046
