Year,Month,Monthly_MSL
1936,1,1.047
1936,2,0.918
1936,3,0.931
1936,4,0.964
1936,5,1.052
1936,6,1.101
1936,7,1.112
1936,8,1.025
1936,9,0.995
1936,10,1.004
1936,11,1.084
1936,12,1.071
1937,1,0.706
1937,2,1.000
1937,3,1.026
1937,4,1.065
1937,5,1.045
1937,6,1.049
1937,7,1.039
1937,8,1.098
1937,9,0.977
1937,10,1.007
1937,11,1.053
1937,12,1.025
1938,1,1.032
1938,2,0.988
1938,3,1.108
1938,4,1.047
1938,5,1.012
1938,6,0.991
1938,7,0.990
1938,8,0.934
1938,9,1.023
1938,10,1.059
1938,11,0.986
1938,12,1.004
1939,1,1.057
1939,2,0.875
1939,3,0.925
1939,4,0.937
1939,5,1.027
1939,6,0.964
1939,7,1.024
1939,8,1.031
1939,9,1.050
1939,10,0.989
1939,11,1.111
1939,12,1.272
1940,1,1.084
1940,2,1.134
1940,3,1.111
1940,4,1.007
1940,5,1.067
1940,6,1.003
1940,7,1.042
1940,8,1.086
1940,9,1.050
1940,10,1.035
1940,11,0.992
1940,12,1.147
1941,11,0.995
1941,12,1.016
1944,1,1.108
1944,2,0.838
1944,3,0.873
1944,4,0.940
1944,5,0.951
1944,6,0.927
1944,7,0.911
1944,8,0.940
1944,9,0.861
1944,10,0.886
1944,11,0.974
1944,12,0.857
1945,1,0.941
1945,2,0.884
1945,3,1.044
1945,4,0.791
1945,5,0.866
1945,6,0.879
1945,7,0.945
1945,8,0.824
1945,9,0.824
1945,10,0.913
1945,11,0.846
1945,12,0.906
1946,1,0.910
1946,2,0.991
1946,3,0.983
1946,4,0.964
1946,5,0.863
1946,6,0.897
1946,7,0.957
1946,8,0.888
1946,9,0.937
1946,10,0.889
1946,11,0.755
1946,12,0.766
1947,1,0.788
1947,2,0.768
1947,3,0.837
1947,4,0.842
1947,5,0.887
1947,6,0.930
1947,7,0.929
1947,8,0.857
1947,9,0.879
1947,10,1.075
1947,11,0.867
1947,12,0.985
1948,1,0.983
1948,2,0.768
1948,3,0.828
1948,4,0.824
1948,5,0.899
1948,6,0.851
1948,7,0.902
1948,8,0.848
1948,9,0.907
1948,10,0.925
1948,11,0.971
1948,12,0.821
1949,1,0.755
1949,2,0.790
1949,3,0.852
1949,4,0.909
1949,5,0.930
1949,6,0.903
1949,7,0.874
1949,8,0.924
1949,9,0.873
1949,10,0.797
1949,11,0.901
1949,12,0.741
1950,1,0.578
1950,2,0.854
1950,3,0.797
1950,4,0.830
1950,5,0.802
1950,6,0.824
1950,7,0.914
1950,8,0.949
1950,9,0.891
1950,10,0.883
1950,11,0.660
1950,12,0.857
1951,1,0.782
1951,2,0.726
1951,3,0.703
1951,4,0.736
1951,5,0.795
1951,6,0.799
1951,7,0.820
1951,8,0.824
1951,9,0.827
1951,10,0.724
1951,11,0.822
1951,12,0.687
1952,1,0.865
1952,2,0.829
1952,3,0.779
1952,4,0.824
1952,5,0.808
1952,6,0.854
1952,7,0.777
1952,8,0.793
1952,9,0.852
1952,10,0.776
1952,11,0.852
1952,12,1.043
1953,1,0.880
1953,2,0.829
1953,3,0.858
1953,4,0.806
1953,5,0.853
1953,6,0.775
1953,7,0.804
1953,8,0.833
1953,9,0.821
1953,10,0.895
1953,11,0.919
1953,12,0.845
1954,1,0.712
1954,2,0.826
1954,3,0.654
1954,4,0.663
1954,5,0.704
1954,6,0.842
1954,7,0.801
1954,8,0.702
1954,9,0.693
1954,10,0.718
1954,11,0.855
1954,12,0.903
1955,1,0.755
1955,2,0.707
1955,3,0.620
1955,4,0.806
1955,5,0.744
1955,6,0.766
1955,7,0.719
1955,8,0.757
1955,9,0.712
1955,10,0.764
1955,11,0.608
1955,12,0.653
1956,1,0.758
1956,2,0.665
1956,3,0.703
1956,4,0.666
1956,5,0.722
1956,6,0.784
1956,7,0.722
1956,8,0.784
1956,9,0.702
1956,10,0.742
1956,11,0.688
1956,12,0.656
1957,1,0.450
1957,2,0.619
1957,3,0.727
1957,4,0.672
1957,5,0.759
1957,6,0.802
1957,7,0.795
1957,8,0.745
1957,9,0.730
1957,10,0.626
1957,11,0.746
1957,12,0.839
1958,1,0.941
1958,2,0.881
1958,3,0.672
1958,4,0.760
1958,5,0.704
1958,6,0.656
1958,7,0.646
1958,8,0.763
1958,9,0.724
1958,10,0.751
1958,11,0.752
1958,12,0.711
1959,1,0.666
1959,2,0.677
1959,3,0.831
1959,4,0.672
1959,5,0.667
1959,6,0.760
1959,7,0.753
1959,8,0.757
1959,9,0.730
1959,10,0.572
1959,11,0.614
1959,12,0.851
1960,1,0.749
1960,2,0.753
1960,3,0.706
1960,4,0.784
1960,5,0.762
1960,6,0.726
1960,7,0.734
1960,8,0.693
1960,9,0.666
1960,10,0.755
1960,11,0.770
1960,12,0.711
1961,1,0.801
1961,2,0.893
1961,3,0.858
1961,4,0.730
1961,5,0.710
1961,6,0.769
1961,7,0.698
1961,8,0.739
1961,9,0.663
1961,10,0.703
1961,11,0.654
1961,12,0.607
1962,1,0.590
1962,2,0.607
1962,3,0.620
1962,4,0.736
1962,5,0.686
1962,6,0.683
1962,7,0.667
1962,8,0.726
1962,9,0.736
1962,10,0.794
1962,11,0.852
1962,12,0.757
1963,1,0.535
1963,2,0.768
1963,3,0.639
1963,4,0.702
1963,5,0.750
1963,6,0.732
1963,7,0.740
1963,8,0.681
1963,9,0.794
1963,10,0.925
1963,11,0.794
1963,12,0.705
1964,1,0.840
1964,2,0.689
1964,3,0.645
1964,4,0.626
1964,5,0.640
1964,6,0.656
1964,7,0.746
1964,8,0.751
1964,9,0.617
1964,10,0.684
1964,11,0.627
1964,12,0.601
1965,1,0.624
1965,2,0.655
1965,3,0.511
1965,4,0.675
1965,5,0.613
1965,6,0.638
1965,7,0.664
1965,8,0.668
1965,9,0.538
1965,10,0.764
1965,11,0.621
1965,12,0.684
1966,1,0.615
1966,2,0.643
1966,3,0.748
1966,4,0.568
1966,5,0.695
1966,6,0.693
1966,7,0.643
1966,8,0.678
1966,9,0.757
1966,10,0.718
1966,11,0.566
1966,12,0.677
1967,1,0.657
1967,2,0.668
1967,3,0.520
1967,4,0.553
1967,5,0.603
1967,6,0.586
1967,7,0.646
1967,8,0.614
1967,9,0.782
1967,10,0.733
1967,11,0.596
1967,12,0.598
1968,1,0.554
1968,2,0.643
1968,3,0.691
1968,4,0.638
1968,5,0.607
1968,6,0.632
1968,7,0.640
1968,8,0.662
1968,9,0.715
1968,10,0.748
1968,11,0.794
1968,12,0.613
1969,1,0.529
1969,2,0.689
1969,3,0.535
1969,4,0.748
1969,5,0.628
1969,6,0.638
1969,7,0.628
1969,8,0.699
1969,9,0.666
1969,10,0.523
1969,11,0.694
1969,12,0.772
1970,1,0.615
1970,2,0.652
1970,3,0.627
1970,4,0.574
1970,5,0.600
1970,6,0.601
1970,7,0.628
1970,8,0.644
1970,9,0.568
1970,10,0.508
1970,11,0.450
1970,12,0.464
1971,1,0.331
1971,2,0.430
1971,3,0.535
1971,4,0.626
1971,5,0.497
1971,6,0.540
1971,7,0.509
1971,8,0.617
1971,9,0.581
1971,10,0.498
1971,11,0.529
1971,12,0.397
1972,1,0.368
1972,2,0.497
1972,3,0.566
1972,4,0.617
1972,5,0.539
1972,6,0.616
1972,7,0.567
1972,8,0.623
1972,9,0.544
1972,10,0.486
1972,11,0.602
1972,12,0.525
1973,1,0.630
1973,2,0.585
1973,3,0.687
1973,4,0.516
1973,5,0.631
1973,6,0.629
1973,7,0.585
1973,8,0.638
1973,9,0.632
1973,10,0.544
1973,11,0.383
1973,12,0.528
1974,1,0.407
1974,2,0.567
1974,3,0.517
1974,4,0.553
1974,5,0.561
1974,6,0.577
1974,7,0.493
1974,8,0.464
1974,9,0.431
1974,10,0.544
1974,11,0.657
1974,12,0.687
1975,1,0.505
1975,2,0.552
1975,3,0.526
1975,4,0.480
1975,5,0.506
1975,6,0.473
1975,7,0.554
1975,8,0.504
1975,9,0.459
1975,10,0.550
1975,11,0.535
1975,12,0.431
1976,1,0.508
1976,2,0.561
1976,3,0.556
1976,4,0.602
1976,5,0.610
1976,6,0.650
1976,7,0.756
1976,8,0.598
1976,9,0.593
1976,10,0.523
1976,11,0.560
1976,12,0.598
1977,1,0.505
1977,2,0.738
1977,3,0.608
1977,4,0.525
1977,5,0.564
1977,6,0.540
1977,7,0.539
1977,8,0.531
1977,9,0.520
1977,10,0.596
1977,11,0.590
1977,12,0.403
1978,1,0.468
1978,2,0.585
1978,3,0.520
1978,4,0.498
1978,5,0.494
1978,6,0.427
1978,7,0.420
1978,8,0.507
1978,9,0.544
1978,10,0.569
1978,11,0.413
1978,12,0.418
1979,1,0.410
1979,2,0.396
1979,3,0.486
1979,4,0.394
1979,5,0.469
1979,6,0.409
1979,7,0.457
1979,8,0.434
1979,9,0.477
1979,10,0.535
1979,11,0.490
1979,12,0.525
1980,1,0.419
1980,2,0.545
1980,3,0.486
1980,4,0.586
1980,5,0.475
1980,6,0.427
1980,7,0.457
1980,8,0.437
1980,9,0.434
1980,10,0.517
1980,11,0.572
1980,12,0.370
1981,1,0.612
1981,2,0.524
1981,3,0.544
1981,4,0.486
1981,5,0.497
1981,6,0.534
1981,7,0.414
1981,8,0.449
1981,9,0.562
1981,10,0.465
1981,11,0.614
1981,12,0.498
1982,1,0.307
1982,2,0.323
1982,3,0.419
1982,4,0.467
1982,5,0.411
1982,6,0.403
1982,7,0.454
1982,8,0.425
1982,9,0.453
1982,10,0.483
1982,11,0.435
1982,12,0.470
1983,1,0.642
1983,2,0.695
1983,3,0.538
1983,4,0.458
1983,5,0.491
1983,6,0.501
1983,7,0.533
1983,8,0.543
1983,9,0.477
1983,10,0.453
1983,11,0.493
1983,12,0.205
1984,1,0.392
1984,2,0.585
1984,3,0.535
1984,4,0.525
1984,5,0.485
1984,6,0.461
1984,7,0.432
1984,8,0.486
1984,9,0.428
1984,10,0.401
1984,11,0.453
1984,12,0.281
1985,1,0.392
1985,2,0.363
1985,3,0.377
1985,4,0.455
1985,5,0.390
1985,6,0.400
1985,7,0.365
1985,8,0.318
1985,9,0.297
1985,10,0.374
1985,11,0.084
1985,12,0.232
1986,1,0.548
1986,2,0.381
1986,3,0.511
1986,4,0.419
1986,5,0.454
1986,6,0.415
1986,7,0.399
1986,8,0.370
1986,9,0.279
1986,10,0.322
1986,11,0.322
1986,12,0.437
1987,1,0.499
1987,2,0.534
1987,3,0.407
1987,4,0.492
1987,5,0.497
1987,6,0.446
1987,7,0.420
1987,8,0.324
1987,9,0.410
1987,10,0.404
1987,11,0.520
1987,12,0.522
1988,1,0.429
1988,2,0.360
1988,3,0.447
1988,4,0.440
1988,5,0.478
1988,6,0.440
1988,7,0.420
1988,8,0.397
1988,9,0.376
1988,10,0.370
1988,11,0.499
1988,12,0.312
1989,1,0.368
1989,2,0.073
1989,3,0.343
1989,4,0.297
1989,5,0.369
1989,6,0.330
1989,7,0.393
1989,8,0.324
1989,9,0.291
1989,10,0.331
1989,11,0.331
1989,12,0.312
1990,1,0.371
1990,2,0.329
1990,3,0.343
1990,4,0.288
1990,5,0.314
1990,6,0.394
1990,7,0.329
1990,8,0.379
1990,9,0.367
1990,10,0.383
1990,11,0.285
1990,12,0.147
1991,1,0.148
1991,2,0.433
1991,3,0.313
1991,4,0.306
1991,5,0.326
1991,6,0.299
1991,7,0.317
1991,8,0.394
1991,9,0.334
1991,10,0.276
1991,11,0.371
1991,12,0.446
1992,1,0.587
1992,2,0.579
1992,3,0.419
1992,4,0.455
1992,5,0.366
1992,6,0.339
1992,7,0.335
1992,8,0.297
1992,9,0.352
1992,10,0.316
1992,11,0.340
1992,12,0.239
1993,1,0.279
1993,2,0.345
1993,3,0.389
1993,4,0.428
1993,5,0.427
1993,6,0.391
1993,7,0.280
1993,8,0.236
1993,9,0.184
1993,10,0.206
1993,11,0.221
1993,12,0.351
1994,1,0.231
1994,2,0.218
1994,3,0.293
1994,4,0.285
1994,5,0.311
1994,6,0.315
1994,7,0.269
1994,8,0.241
1994,9,0.319
1994,10,0.335
1994,11,0.327
1994,12,0.329
1995,1,0.359
1995,2,0.241
1995,3,0.269
1995,4,0.251
1995,5,0.225
1995,6,0.242
1995,7,0.255
1995,8,0.265
1995,9,0.227
1995,10,0.254
1995,11,0.182
1995,12,0.189
1996,1,0.140
1996,2,0.254
1996,3,0.108
1996,4,0.288
1996,5,0.191
1996,6,0.230
1996,7,0.173
1996,8,0.218
1996,9,0.216
1996,10,0.207
1996,11,0.047
1996,12,0.145
1997,1,0.158
1997,2,0.181
1997,3,0.212
1997,4,0.194
1997,5,0.192
1997,6,0.322
1997,7,0.298
1997,8,0.247
1997,9,0.281
1997,10,0.273
1997,11,0.332
1997,12,0.436
1998,1,0.380
1998,2,0.531
1998,3,0.222
1998,4,0.216
1998,5,0.200
1998,6,0.115
1998,7,0.149
1998,8,0.174
1998,9,0.160
1998,10,0.122
1998,11,0.201
1998,12,0.122
1999,1,0.128
1999,2,0.352
1999,3,0.265
1999,4,0.146
1999,5,0.205
1999,6,0.196
1999,7,0.155
1999,8,0.206
1999,9,0.156
1999,10,0.169
1999,11,0.318
1999,12,0.203
2000,1,0.162
2000,2,0.220
2000,3,0.251
2000,4,0.183
2000,5,0.215
2000,6,0.159
2000,7,0.179
2000,8,0.146
2000,9,0.168
2000,10,0.171
2000,11,0.108
2000,12,0.085
2001,1,0.274
2001,2,0.093
2001,3,0.167
