,Date,Monthly_MSL
0,1913-01-01,-0.179
1,1913-02-01,-0.111
2,1913-03-01,-0.166
3,1913-04-01,-0.13
4,1913-05-01,-0.151
5,1913-06-01,-0.121
6,1913-07-01,-0.16
7,1913-08-01,-0.116
8,1913-09-01,-0.174
9,1913-10-01,-0.207
10,1913-11-01,-0.218
11,1913-12-01,-0.169
12,1914-01-01,-0.163
13,1914-02-01,-0.19
14,1914-03-01,-0.23
15,1914-04-01,-0.191
16,1914-05-01,-0.087
17,1914-06-01,-0.133
18,1914-07-01,-0.196
19,1914-08-01,-0.113
20,1914-09-01,-0.134
21,1914-10-01,-0.25
22,1914-11-01,-0.212
23,1914-12-01,-0.123
24,1915-01-01,-0.115
25,1915-02-01,-0.114
26,1915-03-01,-0.132
27,1915-04-01,-0.166
28,1915-05-01,-0.208
29,1915-06-01,-0.176
30,1915-07-01,-0.175
31,1915-08-01,-0.183
32,1915-09-01,-0.174
33,1915-10-01,-0.21
34,1915-11-01,-0.191
35,1915-12-01,-0.199
36,1916-01-01,-0.173
37,1916-02-01,-0.129
38,1916-03-01,-0.205
39,1916-04-01,-0.178
40,1916-05-01,-0.132
41,1916-06-01,-0.2
42,1916-07-01,-0.135
43,1916-08-01,-0.162
44,1916-09-01,-0.162
45,1916-10-01,-0.113
46,1916-11-01,-0.13
47,1916-12-01,-0.16
48,1917-01-01,-0.206
49,1917-02-01,-0.169
50,1917-03-01,-0.038
51,1917-04-01,-0.075
52,1917-05-01,-0.138
53,1917-06-01,-0.17
54,1917-07-01,-0.202
55,1917-08-01,-0.238
56,1917-09-01,-0.134
57,1917-10-01,-0.106
58,1917-11-01,-0.075
59,1917-12-01,-0.093
60,1918-01-01,-0.151
61,1918-02-01,-0.214
62,1918-03-01,-0.15
63,1918-04-01,-0.096
64,1918-05-01,-0.138
65,1918-06-01,-0.164
66,1918-07-01,-0.163
67,1918-08-01,-0.171
68,1918-09-01,-0.192
69,1918-10-01,-0.25
70,1918-11-01,-0.178
71,1918-12-01,-0.123
72,1919-01-01,-0.173
73,1919-02-01,-0.196
74,1919-03-01,-0.144
75,1919-04-01,-0.191
76,1919-05-01,-0.19
77,1919-06-01,-0.148
78,1919-07-01,-0.144
79,1919-08-01,-0.174
80,1919-09-01,-0.147
81,1919-10-01,-0.164
82,1919-11-01,-0.151
83,1919-12-01,-0.157
84,1920-01-01,-0.218
85,1920-02-01,-0.144
86,1920-03-01,-0.294
87,1920-04-01,-0.206
88,1920-05-01,-0.19
89,1920-06-01,-0.145
90,1920-07-01,-0.156
91,1920-08-01,-0.192
92,1920-09-01,-0.183
93,1920-10-01,-0.204
94,1920-11-01,-0.194
95,1920-12-01,-0.163
96,1921-01-01,-0.157
97,1921-02-01,-0.157
98,1921-03-01,-0.15
99,1921-04-01,-0.117
100,1921-05-01,-0.132
101,1921-06-01,-0.084
102,1921-07-01,-0.15
103,1921-08-01,-0.174
104,1921-09-01,-0.138
105,1921-10-01,-0.134
106,1921-11-01,-0.215
107,1921-12-01,-0.163
108,1922-01-01,-0.182
109,1922-02-01,-0.117
110,1922-03-01,-0.126
111,1922-04-01,-0.16
112,1922-05-01,-0.154
113,1922-06-01,-0.142
114,1922-07-01,-0.129
115,1922-08-01,-0.15
116,1922-09-01,-0.147
117,1922-10-01,-0.183
118,1922-11-01,-0.209
119,1922-12-01,-0.221
120,1923-01-01,-0.173
121,1923-02-01,-0.172
122,1923-03-01,-0.129
123,1923-04-01,-0.127
124,1923-05-01,-0.105
125,1923-06-01,-0.155
126,1923-07-01,-0.193
127,1923-08-01,-0.235
128,1923-09-01,-0.211
129,1923-10-01,-0.222
130,1923-11-01,-0.224
131,1923-12-01,-0.242
132,1924-01-01,-0.179
133,1924-02-01,-0.144
134,1924-03-01,-0.147
135,1924-04-01,-0.245
136,1924-05-01,-0.227
137,1924-06-01,-0.179
138,1924-07-01,-0.129
139,1924-08-01,-0.125
140,1924-09-01,-0.153
141,1924-10-01,-0.167
142,1924-11-01,-0.172
143,1924-12-01,-0.278
144,1925-01-01,-0.194
145,1925-02-01,-0.132
146,1925-03-01,-0.166
147,1925-04-01,-0.242
148,1925-05-01,-0.154
149,1925-06-01,-0.179
150,1925-07-01,-0.178
151,1925-08-01,-0.144
152,1925-09-01,-0.174
153,1925-10-01,-0.225
154,1925-11-01,-0.133
155,1926-01-01,-0.209
156,1926-02-01,-0.26
157,1926-03-01,-0.251
158,1926-04-01,-0.197
159,1926-05-01,-0.202
160,1926-06-01,-0.185
