Year, Month, Monthly_MSL
1926,2,6.648
1926,3,6.660
1926,7,6.691
1926,8,6.687
1926,9,6.709
1926,10,6.761
1926,11,6.713
1926,12,6.700
1927,1,6.727
1927,2,6.745
1927,8,6.754
1927,9,6.703
1927,10,6.724
1927,11,6.734
1928,1,6.727
1928,2,6.715
1928,3,6.757
1928,4,6.768
1928,5,6.759
1928,6,6.792
1928,7,6.783
1928,8,6.772
1928,9,6.764
1928,10,6.718
1928,11,6.704
1928,12,6.703
1929,1,6.706
1929,2,6.712
1929,3,6.678
1929,4,6.689
1929,5,6.710
1929,6,6.688
1929,7,6.737
1929,8,6.723
1929,9,6.727
1929,10,6.739
1929,11,6.716
1929,12,6.687
1930,1,6.715
1930,2,6.715
1930,3,6.736
1930,4,6.710
1930,5,6.737
1930,6,6.725
1930,7,6.850
1930,8,6.708
1930,9,6.654
1930,10,6.645
1930,11,6.646
1930,12,6.693
1931,1,6.685
1931,2,6.697
1931,3,6.702
1931,4,6.701
1931,5,6.734
1931,6,6.722
1931,7,6.670
1931,8,6.824
1931,9,6.730
1931,10,6.779
1931,11,6.734
1931,12,6.721
1932,1,6.685
1932,2,6.709
1932,3,6.690
1932,4,6.683
1932,5,6.686
1932,6,6.707
1932,7,6.722
1932,8,6.699
1932,9,6.739
1932,10,6.724
1932,11,6.734
1932,12,6.727
1933,1,6.745
1933,2,6.770
1933,3,6.782
1933,4,6.765
1933,5,6.750
1933,6,6.740
1933,7,6.749
1933,8,6.732
1933,9,6.782
1933,10,6.770
1933,11,6.804
1933,12,6.800
1934,1,6.810
1934,2,6.764
1934,3,6.794
1934,4,6.774
1934,5,6.774
1934,6,6.752
1934,7,6.789
1934,8,6.735
1934,9,6.834
1934,10,6.803
1934,11,6.807
1934,12,6.779
1935,1,6.742
1935,2,6.785
1935,3,6.772
1935,4,6.792
1935,5,6.786
1935,6,6.758
1935,7,6.819
1935,8,6.796
1935,9,6.822
1935,10,6.742
1935,11,6.749
1935,12,6.730
1936,2,6.782
1936,3,6.760
1936,4,6.753
1936,5,6.743
1936,6,6.734
1936,7,6.737
1936,8,6.739
1936,9,6.736
1936,10,6.810
1936,11,6.752
1936,12,6.779
1937,1,6.773
1937,2,6.779
1937,3,6.791
1937,4,6.808
1937,5,6.801
1937,6,6.813
1937,9,6.718
1937,10,6.724
1937,11,6.722
1937,12,6.730
1938,1,6.745
1938,2,6.730
1938,3,6.775
1938,4,6.765
1938,5,6.737
1938,6,6.737
1938,7,6.712
1938,8,6.705
1938,9,6.761
1938,10,6.788
1938,11,6.768
1938,12,6.776
1947,3,6.772
1947,4,6.771
1947,5,6.753
1947,6,6.764
1947,7,6.764
1947,8,6.748
1947,9,6.742
