Year, Month, Monthly_MSL
1948,10,-0.367
1948,11,-0.417
1948,12,-0.411
1949,1,-0.410
1949,2,-0.336
1949,3,-0.326
1949,4,-0.324
1949,5,-0.239
1949,6,-0.326
1949,7,-0.342
1949,8,-0.354
1949,9,-0.351
1949,10,-0.328
1949,11,-0.329
1949,12,-0.262
1950,1,-0.249
1950,2,-0.266
1950,3,-0.243
1950,4,-0.247
1950,5,-0.252
1950,6,-0.295
1950,7,-0.339
1950,8,-0.336
1950,9,-0.308
1950,10,-0.282
1950,11,-0.262
1950,12,-0.231
1951,1,-0.264
1951,2,-0.193
1951,3,-0.179
1951,4,-0.226
1951,5,-0.282
1951,6,-0.317
1951,7,-0.320
1951,8,-0.324
1951,9,-0.317
1951,10,-0.322
1951,11,-0.326
1951,12,-0.356
1952,1,-0.337
1952,2,-0.342
1952,3,-0.323
1952,4,-0.357
1952,5,-0.355
1952,6,-0.274
1952,7,-0.256
1952,8,-0.250
1952,9,-0.272
1952,10,-0.273
1952,11,-0.292
1952,12,-0.320
1953,1,-0.374
1953,2,-0.382
1953,3,-0.335
1953,4,-0.327
1953,5,-0.294
1953,6,-0.326
1953,7,-0.323
1953,8,-0.317
1953,9,-0.378
1953,10,-0.367
1953,11,-0.417
1953,12,-0.390
1954,1,-0.361
1954,2,-0.373
1954,3,-0.338
1954,4,-0.299
1954,5,-0.297
1954,6,-0.222
1954,7,-0.275
1954,8,-0.260
1954,9,-0.278
1954,10,-0.248
1954,11,-0.265
1954,12,-0.207
1955,1,-0.172
1955,2,-0.181
1955,3,-0.183
1955,4,-0.177
1955,5,-0.221
1955,6,-0.231
1955,7,-0.272
1955,8,-0.229
1955,9,-0.256
1955,10,-0.258
1955,11,-0.256
1955,12,-0.253
1956,1,-0.224
1957,1,-0.239
1957,2,-0.241
1957,3,-0.274
1957,4,-0.211
1957,5,-0.252
1957,6,-0.283
1957,7,-0.281
1957,8,-0.281
1957,9,-0.269
1957,10,-0.334
1957,11,-0.301
1957,12,-0.326
1958,1,-0.361
1958,2,-0.366
1958,3,-0.381
1958,4,-0.442
1958,5,-0.370
1958,6,-0.381
1958,7,-0.327
1958,8,-0.308
1958,9,-0.308
1958,10,-0.285
1958,11,-0.277
1958,12,-0.295
1959,1,-0.270
