Date,Monthly_MSL
1889-01-01,7.198
1889-02-01,7.429
1889-03-01,7.206
1889-04-01,7.2
1889-05-01,7.089
1889-06-01,7.161
1889-07-01,7.241
1889-08-01,7.404
1889-09-01,7.284
1889-10-01,7.193
1889-11-01,7.153
1889-12-01,7.12
1890-01-01,7.318
1890-02-01,7.219
1890-03-01,7.296
1890-04-01,7.3
1890-05-01,7.229
1890-06-01,7.391
1890-07-01,7.351
1890-08-01,7.284
1890-09-01,7.234
1890-10-01,7.493
1890-11-01,7.323
1890-12-01,7.01
1891-01-01,7.038
1891-02-01,7.229
1891-03-01,7.396
1891-04-01,7.11
1891-05-01,7.249
1891-06-01,7.141
1891-07-01,7.171
1891-08-01,7.294
1891-09-01,7.294
1891-10-01,7.253
1891-11-01,7.103
1891-12-01,7.24
1892-01-01,7.298
1892-02-01,7.309
1892-03-01,7.036
1892-04-01,7.26
1892-05-01,7.359
1892-06-01,7.301
1892-07-01,7.351
1892-08-01,7.274
1892-09-01,7.284
1892-10-01,7.183
1892-11-01,7.033
1892-12-01,7.21
1893-01-01,7.068
1893-02-01,7.129
1893-03-01,7.416
1893-04-01,7.34
1893-05-01,7.219
1893-06-01,7.291
1893-07-01,7.181
1893-08-01,7.274
1893-09-01,7.474
1893-10-01,7.463
1893-11-01,7.463
1893-12-01,7.33
1894-01-01,7.208
1894-02-01,7.629
1894-03-01,7.456
1894-04-01,7.1
1894-05-01,7.219
1894-06-01,7.221
1894-07-01,7.221
1894-08-01,7.294
1894-09-01,7.284
1894-10-01,7.093
1894-11-01,7.233
1894-12-01,7.27
1895-01-01,7.158
1895-02-01,6.969
1895-03-01,7.236
1895-04-01,7.35
1895-05-01,7.179
1895-06-01,7.161
1895-07-01,7.311
1895-08-01,7.284
1895-09-01,7.384
1895-10-01,7.373
1895-11-01,7.303
1895-12-01,7.2
1896-01-01,7.168
1896-02-01,7.369
1896-03-01,7.346
1896-04-01,7.26
1896-05-01,7.339
1896-06-01,7.271
1896-07-01,7.321
1896-08-01,7.234
1896-09-01,7.154
1896-10-01,7.183
1896-11-01,7.153
1896-12-01,7.0
1897-01-01,6.948
1897-02-01,7.159
1897-03-01,7.226
1897-04-01,7.26
1897-05-01,7.299
1897-06-01,7.211
1897-07-01,7.281
1897-08-01,7.184
1897-09-01,7.274
1897-10-01,7.253
1897-11-01,7.113
1897-12-01,7.23
1898-01-01,7.328
1898-02-01,7.559
1898-03-01,7.336
1898-04-01,7.2
1898-05-01,7.199
1898-06-01,7.231
1898-07-01,7.421
1898-08-01,7.304
1898-09-01,7.324
1898-10-01,7.083
1898-11-01,7.163
1898-12-01,7.47
1899-01-01,7.478
1899-02-01,7.319
1899-03-01,7.406
1899-04-01,7.44
1899-05-01,7.239
1899-06-01,7.281
1899-07-01,7.111
1899-08-01,7.294
1899-09-01,7.374
1899-10-01,7.403
1899-11-01,7.523
1899-12-01,7.33
1900-01-01,6.988
1900-02-01,7.019
1900-03-01,7.126
1900-04-01,7.14
1900-05-01,7.339
1900-06-01,7.201
1900-07-01,7.231
1900-08-01,7.204
1900-09-01,7.204
1900-10-01,7.433
1900-11-01,7.143
1900-12-01,7.25
1901-01-01,7.128
1901-02-01,7.239
1901-03-01,7.086
1901-04-01,7.18
1901-05-01,7.069
1901-06-01,7.201
1901-07-01,7.071
1901-08-01,7.104
1901-09-01,7.034
1901-10-01,7.113
1901-11-01,7.223
1901-12-01,7.29
1902-01-01,7.418
1902-02-01,7.249
1902-03-01,7.196
1902-04-01,7.04
1902-05-01,7.199
1902-06-01,7.161
1902-07-01,7.271
1902-08-01,7.354
1902-09-01,7.274
1902-10-01,7.153
1902-11-01,7.133
1902-12-01,6.98
1903-01-01,7.238
1903-02-01,7.599
1903-03-01,7.476
1903-04-01,7.54
1903-05-01,7.319
1903-06-01,7.181
1903-07-01,7.241
1903-08-01,7.464
1903-09-01,7.384
1903-10-01,7.213
1903-11-01,7.283
1903-12-01,7.11
1904-01-01,7.018
1904-02-01,7.129
1904-03-01,6.986
1904-04-01,7.14
1904-05-01,7.309
